"name"	"taxRank"	"taxID"	"Max"	"K1.cladeReads"	"K2.cladeReads"	"W1.cladeReads"	"Max.1"	"K1.cladeReads.."	"K2.cladeReads.."	"W1.cladeReads.."	"Max.2"	"K1.cladeReads.rank"	"K2.cladeReads.rank"	"W1.cladeReads.rank"	"Max.3"	"K1.cladeReads.z.score"	"K2.cladeReads.z.score"	"W1.cladeReads.z.score"	"Max.4"	"K1.cladeReads...z.score"	"K2.cladeReads...z.score"	"W1.cladeReads...z.score"	"lineage"
"Bacteroides"	"G"	816	229070	229070	221834	117381	46.02	38	39.58	46.02	1	1	2	1	0.6745	0.6745	NA	-9.736	2.749	-0.6745	NA	2.749	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae"
"Phocaeicola"	"G"	909656	254830	169771	254831	4129	45.47	28.16	45.47	1.619	1	2	1	11	0.6745	NA	0.6745	-1.313	0.6745	NA	0.6745	-1.034	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae"
"Butyricimonas"	"G"	574697	5889	5889	223	3253	1.275	0.9769	0.03979	1.275	7	7	30	13	0.6745	0.6745	-0.7753	NA	0.6745	NA	-2.12	0.6745	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Odoribacteraceae"
"Odoribacter"	"G"	283168	8346	5233	1	8346	3.272	0.8681	0.0001784	3.272	6	9	263.5	6	0.6745	NA	-1.134	0.6745	1.868	NA	-0.6745	1.868	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Odoribacteraceae"
"Alistipes"	"G"	239759	15324	8165	4871	15324	6.007	1.354	0.8691	6.007	3	5	8	3	1.466	NA	-0.6745	1.466	6.472	NA	-0.6745	6.472	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae"
"Parabacteroides"	"G"	375288	30880	7519	1229	30880	12.11	1.247	0.2193	12.11	2	6	16	2	2.505	NA	-0.6745	2.505	7.13	NA	-0.6745	7.13	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae"
"Barnesiella"	"G"	397864	6936	3831	57	6936	2.719	0.6355	0.01017	2.719	8	11	47.5	8	0.6745	NA	-0.8198	0.6745	2.247	NA	-0.6745	2.247	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Barnesiellaceae"
"Coprobacter"	"G"	1348911	1648	1150	78	1648	0.6461	0.1908	0.01392	0.6461	18	21	42	18	0.6745	NA	-1.452	0.6745	1.736	NA	-0.6745	1.736	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Barnesiellaceae"
"Paraprevotella"	"G"	577309	148	148	53	47	0.02455	0.02455	0.009457	0.01843	39	39	51	56	10.68	10.68	NA	-0.6745	0.6745	0.6745	-0.9889	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Prevotellaceae"
"Segatella"	"G"	2974251	336	58	55	336	0.1317	0.009622	0.009814	0.1317	27	49	50	27	62.5	NA	-0.6745	62.5	121.9	-0.192	NA	121.9	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Prevotellaceae"
"Prevotella"	"G"	838	227	10	6	227	0.08899	0.001659	0.001071	0.08899	30	80.5	96	30	36.59	NA	-0.6745	36.59	87.33	NA	-0.588	87.33	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Prevotellaceae"
"Hoylesella"	"G"	2974257	13	2	2	13	0.005096	0.0003318	0.0003569	0.005096	86.5	172	166	86.5	11	NA	NA	11	4.739	-0.0251	NA	4.739	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Prevotellaceae"
"Pseudoprevotella"	"G"	2884814	7	1	NA	7	0.002744	0.0001659	NA	0.002744	114.5	279	NA	114.5	4.047	NA	NA	4.047	2.578	NA	NA	2.578	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Prevotellaceae"
"Muribaculum"	"G"	1918540	15	15	8	9	0.003528	0.002488	0.001427	0.003528	71	71	90.5	98	4.047	4.047	-0.6745	NA	0.6745	NA	-0.6881	0.6745	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Muribaculaceae"
"Duncaniella"	"G"	2518495	81	2	81	7	0.01445	0.0003318	0.01445	0.002744	41	172	41	114.5	9.982	-0.6745	9.982	NA	3.273	-0.6745	3.273	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Muribaculaceae"
"Paramuribaculum"	"G"	2518497	8	1	NA	8	0.003136	0.0001659	NA	0.003136	105	279	NA	105	4.721	NA	NA	4.721	2.97	NA	NA	2.97	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Muribaculaceae"
"Porphyromonas"	"G"	836	49	6	1	49	0.01921	0.0009953	0.0001784	0.01921	55	98.5	263.5	55	5.801	NA	-0.6745	5.801	15.04	NA	-0.6745	15.04	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Porphyromonadaceae"
"Macellibacteroides"	"G"	1159323	576	6	576	7	0.1028	0.0009953	0.1028	0.002744	24	98.5	24	114.5	383.8	-0.6745	383.8	NA	38.59	-0.6745	38.59	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Porphyromonadaceae"
"Petrimonas"	"G"	307628	187	1	187	NA	0.03337	0.0001659	0.03337	NA	32	279	32	NA	125.5	NA	125.5	NA	33.2	NA	33.2	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Dysgonomonadaceae"
"Limibacterium"	"G"	3404873	1	1	NA	1	0.000392	0.0001659	NA	0.000392	279	279	NA	428.5	NA	NA	NA	NA	0.2261	NA	NA	0.2261	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Dysgonomonadaceae"
"Paludibacter"	"G"	346096	4	1	NA	4	0.001568	0.0001659	NA	0.001568	167.5	279	NA	167.5	2.023	NA	NA	2.023	1.402	NA	NA	1.402	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Paludibacteraceae"
"Tenuifilum"	"G"	2760873	1	1	NA	NA	0.0001659	0.0001659	NA	NA	279	279	NA	NA	1	1	NA	NA	0.1659	0.1659	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tenuifilaceae"
"Draconibacterium"	"G"	1471399	3	3	1	3	0.001176	0.0004977	0.0001784	0.001176	138	138	263.5	203.5	-2	NA	-2	NA	0.6783	NA	-0.3193	0.6783	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Marinilabiliales>Prolixibacteraceae"
"Gaoshiqia"	"G"	3045890	2	2	NA	NA	0.0003318	0.0003318	NA	NA	172	172	NA	NA	2	2	NA	NA	0.3318	0.3318	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Marinilabiliales>Prolixibacteraceae"
"Marinifilum"	"G"	866673	4	1	NA	4	0.001568	0.0001659	NA	0.001568	167.5	279	NA	167.5	2.023	NA	NA	2.023	1.402	NA	NA	1.402	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Marinilabiliales>Marinifilaceae"
"Flavobacterium"	"G"	237	27	11	4	27	0.01058	0.001825	0.0007137	0.01058	64.5	78	120	64.5	1.542	NA	-0.6745	1.542	5.314	NA	-0.6745	5.314	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae"
"Capnocytophaga"	"G"	1016	12	3	NA	12	0.004704	0.0004977	NA	0.004704	88	138	NA	88	2.023	NA	NA	2.023	4.206	NA	NA	4.206	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae"
"Myroides"	"G"	76831	2	2	1	1	0.000392	0.0003318	0.0001784	0.000392	172	172	263.5	428.5	1	1	NA	NA	0.0602	NA	-0.1534	0.0602	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae"
"Polaribacter"	"G"	52959	1	1	1	NA	0.0001784	0.0001659	0.0001784	NA	263.5	279	263.5	NA	NA	NA	NA	NA	0.0125	NA	0.0125	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae"
"Psychroflexus"	"G"	83612	1	1	NA	NA	0.0001659	0.0001659	NA	NA	279	279	NA	NA	1	1	NA	NA	0.1659	0.1659	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae"
"Flavivirga"	"G"	1209327	1	1	NA	NA	0.0001659	0.0001659	NA	NA	279	279	NA	NA	1	1	NA	NA	0.1659	0.1659	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae"
"Nonlabens"	"G"	363408	1	1	NA	1	0.000392	0.0001659	NA	0.000392	279	279	NA	428.5	NA	NA	NA	NA	0.2261	NA	NA	0.2261	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae"
"Robiginitalea"	"G"	252306	1	1	NA	1	0.000392	0.0001659	NA	0.000392	279	279	NA	428.5	NA	NA	NA	NA	0.2261	NA	NA	0.2261	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae"
"Formosa"	"G"	225842	3	1	NA	3	0.001176	0.0001659	NA	0.001176	203.5	279	NA	203.5	1.349	NA	NA	1.349	1.01	NA	NA	1.01	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae"
"Ornithobacterium"	"G"	28250	18	7	18	5	0.003212	0.001161	0.003212	0.00196	64	93	64	139.5	3.71	NA	3.71	-0.6745	1.057	-0.6745	1.057	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae"
"Chryseobacterium"	"G"	59732	15	2	4	15	0.00588	0.0003318	0.0007137	0.00588	82	172	120	82	3.71	-0.6745	NA	3.71	5.166	-0.3819	NA	5.166	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group"
"Empedobacter"	"G"	59734	1	1	NA	NA	0.0001659	0.0001659	NA	NA	279	279	NA	NA	1	1	NA	NA	0.1659	0.1659	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae"
"Pedobacter"	"G"	84567	14	5	1	14	0.005488	0.0008294	0.0001784	0.005488	84.5	105.5	263.5	84.5	1.518	NA	-0.6745	1.518	4.659	NA	-0.651	4.659	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae"
"Olivibacter"	"G"	376469	2	2	NA	NA	0.0003318	0.0003318	NA	NA	172	172	NA	NA	2	2	NA	NA	0.3318	0.3318	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae"
"Mucilaginibacter"	"G"	423349	24	2	3	24	0.009409	0.0003318	0.0005353	0.009409	67.5	172	137.5	67.5	14.16	-0.6745	NA	14.16	8.874	-0.2035	NA	8.874	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae"
"Sphingobacterium"	"G"	28453	7	1	NA	7	0.002744	0.0001659	NA	0.002744	114.5	279	NA	114.5	4.047	NA	NA	4.047	2.578	NA	NA	2.578	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae"
"Aurantibacillus"	"G"	3088889	3	3	NA	NA	0.0004977	0.0004977	NA	NA	138	138	NA	NA	3	3	NA	NA	0.4977	0.4977	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Aurantibacillaceae"
"Reichenbachiella"	"G"	156993	4	4	1	1	0.0006636	0.0006636	0.0001784	0.000392	119	119	263.5	428.5	3	3	NA	NA	0.2716	0.2716	-0.2136	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Reichenbachiellaceae"
"Hymenobacter"	"G"	89966	17	2	NA	17	0.006664	0.0003318	NA	0.006664	77	172	NA	77	5.059	NA	NA	5.059	6.332	NA	NA	6.332	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae"
"Pontibacter"	"G"	323449	3	1	1	3	0.001176	0.0001659	0.0001784	0.001176	203.5	279	263.5	203.5	2	NA	NA	2	0.9976	-0.0125	NA	0.9976	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae"
"Cytophaga"	"G"	978	2	2	NA	NA	0.0003318	0.0003318	NA	NA	172	172	NA	NA	2	2	NA	NA	0.3318	0.3318	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Cytophagaceae"
"Aureibacter"	"G"	1097443	2	2	NA	NA	0.0003318	0.0003318	NA	NA	172	172	NA	NA	2	2	NA	NA	0.3318	0.3318	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Persicobacteraceae"
